Date,Well_ID,GL_Type,Choke_1_64in,THP_bar,THT_C,Pres_DS_Choke_bar,Temp_DS_Choke_C,CHP_bar,CHT_C,TAP_bar,BCP_bar,Bottom_Press_bar,Bottom_Temp_C,Water_pct,Emulsion_pct,Sand_pct,BSW_pct,H2S_ppm
2000-06-30 14:00:00,Well_278,Short String GL,20.0,22.5,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.02,30.02,0.0
2000-06-30 16:00:00,Well_278,Short String GL,20.0,16.5,,7.5,25.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-30 18:00:00,Well_278,Short String GL,20.0,32.0,,7.5,25.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-30 20:00:00,Well_278,Short String GL,20.0,18.0,,7.5,25.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-30 22:00:00,Well_278,Short String GL,20.0,22.0,,7.5,25.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-07-01 00:00:00,Well_278,Short String GL,20.0,28.5,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-01 02:00:00,Well_278,Short String GL,20.0,17.5,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-07-01 04:00:00,Well_278,Short String GL,20.0,16.0,,7.5,24.0,82.5,,35.9,7.9,,,32.0,0.0,0.01,32.01,0.0
2000-07-01 06:00:00,Well_278,Short String GL,20.0,23.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-01 08:00:00,Well_278,Short String GL,20.0,15.0,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-07-01 10:00:00,Well_278,Short String GL,20.0,23.5,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-07-01 12:00:00,Well_278,Short String GL,20.0,18.0,,7.5,24.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-07-01 14:00:00,Well_278,Short String GL,20.0,19.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-01 16:00:00,Well_278,Short String GL,20.0,21.0,,7.5,24.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-07-01 18:00:00,Well_278,Short String GL,20.0,19.5,,7.5,24.0,82.5,,35.9,7.9,,,21.0,0.0,0.01,21.01,0.0
2000-07-01 20:00:00,Well_278,Short String GL,20.0,19.0,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-07-01 22:00:00,Well_278,Short String GL,20.0,18.0,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-07-02 00:00:00,Well_278,Short String GL,20.0,29.5,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-02 02:00:00,Well_278,Short String GL,20.0,17.5,,7.5,24.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-07-02 04:00:00,Well_278,Short String GL,20.0,22.0,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-07-02 06:00:00,Well_278,Short String GL,20.0,17.0,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-07-02 08:00:00,Well_278,Short String GL,20.0,17.0,,7.5,24.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-07-02 10:00:00,Well_278,Short String GL,20.0,21.0,,7.5,24.0,82.5,,35.9,7.9,,,23.0,0.0,0.01,23.01,0.0
2000-07-02 12:00:00,Well_278,Short String GL,20.0,23.5,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-07-02 14:00:00,Well_278,Short String GL,20.0,23.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-02 16:00:00,Well_278,Short String GL,20.0,23.5,,7.5,25.0,82.5,,35.9,7.9,,,27.0,0.0,0.01,27.01,0.0
2000-07-02 18:00:00,Well_278,Short String GL,20.0,18.0,,7.5,25.0,82.5,,35.9,7.9,,,21.0,0.0,0.01,21.01,0.0
2000-07-02 20:00:00,Well_278,Short String GL,20.0,18.5,,7.5,25.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-07-02 22:00:00,Well_278,Short String GL,20.0,18.0,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-07-03 00:00:00,Well_278,Short String GL,20.0,22.0,,7.5,26.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-07-03 02:00:00,Well_278,Short String GL,20.0,20.0,,7.5,26.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
